,finess,type
732,020016846,Privé
733,020017018,Privé
734,020017091,Privé
735,020017117,Privé
736,020017133,Public
737,020017158,Privé
738,020017174,Public
739,020017190,Privé
740,020017216,Privé
741,020017240,Privé
742,020017265,Privé
743,020017281,Privé
744,020017307,Privé
745,020017323,Privé
746,020017398,Privé
747,020017414,Privé
748,020017547,Privé
749,020017562,Privé
750,020017588,Privé
751,020017612,Privé
752,020017620,Privé
753,020017646,Privé
754,020017729,Public
755,020017737,Privé
756,020017778,Privé
757,020017802,Privé
758,020017828,Privé
759,020017851,Privé
760,020017877,Privé
761,020017893,Public
762,020017919,Privé
763,020017943,Privé
764,020017968,Privé
765,020017984,Privé
766,020018008,Privé
767,020018024,Privé
768,020018057,Privé
769,020018073,Privé
770,020018115,Privé
771,020018347,Privé
772,020018388,Privé
773,030000020,Privé
774,030000038,Privé
775,030000053,Privé
776,030000103,Public
777,030000111,Public
778,030000145,Public
779,030000194,Privé
780,030000228,Public
781,030000236,Public
782,030000244,Public
783,030000251,Public
784,030000269,Privé
785,030000277,Privé
786,030000285,Public
787,030000293,Public
788,030000327,Public
789,030000335,Public
790,030000343,Public
791,030000350,Public
792,030000368,Public
793,030000376,Public
794,030000384,Public
795,030000392,Public
796,030000400,Public
797,030000418,Privé
798,030000426,Privé
799,030000434,Privé
800,030000442,Privé
801,030000459,Privé
802,030000491,Privé
803,030000509,Privé
804,030000541,Public
805,030000558,Privé
806,030000566,Privé
807,030000582,Privé
808,030000590,Privé
809,030000616,Public
810,030000632,Privé
811,030000657,Privé
812,030000665,Public
813,030000947,Privé
814,030000954,Privé
815,030000962,Privé
816,030001028,Privé
817,030001119,Privé
818,030001168,Privé
819,030001218,Privé
820,030001275,Privé
821,030001291,Privé
822,030001341,Privé
823,030001358,Privé
824,030001374,Privé
825,030001390,Privé
826,030001408,Privé
827,030001424,Privé
828,030001440,Privé
829,030001465,Privé
830,030001481,Privé
831,030001499,Privé
832,030001515,Privé
833,030001549,Privé
834,030001564,Privé
835,030001580,Privé
836,030001614,Privé
837,030001630,Privé
838,030001663,Privé
839,030001697,Privé
840,030001713,Privé
841,030001739,Privé
842,030001762,Privé
843,030001788,Privé
844,030001796,Privé
845,030001838,Privé
846,030001846,Privé
847,030001879,Privé
848,030001895,Privé
849,030001945,Privé
850,030002034,Privé
851,030002067,Privé
852,030002083,Privé
853,030002133,Privé
854,030002158,Public
855,030002182,Privé
856,030002216,Privé
857,030002232,Privé
858,030002257,Privé
859,030002273,Privé
860,030002307,Privé
861,030002323,Privé
862,030002422,Privé
863,030002448,Privé
864,030002455,Privé
865,030002471,Privé
866,030002489,Privé
867,030002505,Privé
868,030002521,Privé
869,030002554,Privé
870,030002570,Privé
871,030002604,Privé
872,030002620,Privé
873,030002653,Privé
874,030002687,Privé
875,030002737,Privé
876,030002786,Privé
877,030002802,Privé
878,030002828,Public
879,030002885,Privé
880,030002901,Privé
881,030002935,Privé
882,030002950,Privé
883,030002968,Privé
884,030002984,Privé
885,030003016,Privé
886,030003032,Privé
887,030003057,Privé
888,030003073,Privé
889,030003099,Privé
890,030003107,Privé
891,030003123,Privé
892,030003156,Privé
893,030003172,Privé
894,030003222,Privé
895,030003255,Privé
896,030003271,Privé
897,030003321,Privé
898,030003370,Privé
899,030003404,Privé
900,030003420,Privé
901,030003487,Privé
902,030003503,Privé
903,030003529,Privé
904,030003537,Privé
905,030003552,Privé
906,030003578,Privé
907,030003602,Privé
908,030003651,Privé
909,030003685,Privé
910,030003701,Privé
911,030003735,Privé
912,030003784,Privé
913,030003834,Privé
914,030003982,Privé
915,030004006,Privé
916,030004022,Privé
917,030004055,Privé
918,030004071,Privé
919,030004105,Privé
920,030004139,Public
921,030004154,Privé
922,030004253,Privé
923,030004303,Privé
924,030004329,Privé
925,030004337,Privé
926,030004352,Privé
927,030004378,Privé
928,030004386,Privé
929,030004451,Privé
930,030004485,Privé
931,030004501,Privé
932,030004584,Privé
933,030004634,Privé
934,030004683,Privé
935,030004709,Privé
936,030004733,Privé
937,030004766,Privé
938,030004808,Privé
939,030004832,Privé
940,030004857,Privé
941,030004907,Privé
942,030004923,Privé
943,030004949,Privé
944,030004956,Privé
945,030004972,Privé
946,030005003,Privé
947,030005037,Privé
948,030005086,Privé
949,030005102,Privé
950,030005169,Privé
951,030005185,Privé
952,030005235,Privé
953,030005250,Privé
954,030005268,Privé
955,030005284,Privé
956,030005334,Privé
957,030005367,Privé
958,030005383,Privé
959,030005417,Privé
960,030005458,Public
961,030005482,Privé
962,030005516,Privé
963,030005532,Privé
964,030005557,Privé
965,030005573,Privé
966,030005607,Privé
967,030005623,Privé
968,030005656,Privé
969,030005672,Privé
970,030005698,Privé
971,030005706,Privé
972,030005722,Privé
973,030005755,Privé
974,030005771,Privé
975,030005821,Privé
976,030005854,Privé
977,030005870,Privé
978,030005904,Privé
979,030005946,Privé
980,030005953,Privé
981,030005987,Privé
982,030006050,Privé
983,030006076,Privé
984,030006084,Privé
985,030006159,Privé
986,030006167,Privé
987,030006175,Privé
988,030006183,Privé
989,030006217,Public
990,030006233,Privé
991,030006266,Privé
992,030006274,Privé
993,030006316,Privé
994,030006324,Privé
995,030006332,Privé
996,030006373,Privé
997,030006407,Public
998,030006423,Privé
999,030006456,Privé
1000,030006472,Privé
1001,030006498,Privé
1002,030006506,Privé
1003,030006530,Privé
1004,030006555,Public
1005,030006571,Privé
1006,030006621,Privé
1007,030006712,Privé
1008,030006787,Privé
1009,030006886,Public
1010,030006910,Privé
1011,030006936,Public
1012,030006951,Public
1013,030006977,Privé
1014,030007025,Privé
1015,030007066,Privé
1016,030007082,Privé
1017,030007124,Privé
1018,030007140,Privé
1019,030007165,Privé
1020,030007215,Privé
1021,030007231,Public
1022,030007256,Privé
1023,030007272,Privé
1024,030007306,Privé
1025,030007322,Privé
1026,030007348,Public
1027,030007363,Privé
1028,030007405,Privé
1029,030007470,Public
1030,030007603,Privé
1031,030007637,Privé
1032,030007652,Privé
1033,030007678,Privé
1034,030007694,Privé
1035,030007702,Privé
1036,030007710,Privé
1037,030007728,Privé
1038,030007801,Privé
1039,030007926,Public
1040,030007975,Privé
1041,030007983,Privé
1042,030008015,Privé
1043,030008031,Privé
1044,030008064,Privé
1045,030008478,Privé
1046,030008494,Privé
1047,030008502,Public
1048,030008528,Privé
1049,030008544,Privé
1050,030008569,Privé
1051,030008668,Privé
1052,030008684,Privé
1053,030180020,Public
1054,030780092,Public
1055,030780100,Public
1056,030780118,Public
1057,030780126,Public
1058,030780282,Public
1059,030783401,Privé
1060,030783419,Privé
1061,030783435,Privé
1062,030783476,Public
1063,030783484,Public
1064,030783526,Public
1065,030783575,Privé
1066,030783898,Privé
1067,030783914,Public
1068,030784003,Public
1069,030784193,Privé
1070,030784219,Privé
1071,030784235,Public
1072,030784250,Public
1073,030784276,Privé
1074,030784292,Public
1075,030784334,Privé
1076,030784359,Public
1077,030784375,Privé
1078,030784391,Privé
1079,030784433,Public
1080,030784458,Public
1081,030784508,Public
1082,030784532,Privé
1083,030784581,Privé
1084,030784607,Privé
1085,030784631,Public
1086,030784656,Privé
1087,030784672,Public
1088,030784722,Public
1089,030784748,Privé
1090,030784763,Public
1091,030784813,Public
1092,030785067,Privé
1093,030785117,Public
1094,030785307,Privé
1095,030785323,Privé
1096,030785364,Privé
1097,030785422,Privé
1098,030785471,Public
1099,030785521,Privé
1100,030785646,Public
1101,030785695,Privé
1102,030785935,Privé
1103,030786008,Privé
1104,030786172,Privé
1105,030786198,Privé
1106,030786214,Privé
1107,030786347,Privé
1108,030786388,Privé
1109,040000168,Privé
1110,040000192,Privé
1111,040000200,Privé
1112,040000218,Public
1113,040000234,Public
1114,040000259,Privé
